epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
107,6143.63,1.23476,0.80595,0.92487,0.53322,0.44895,0.43204,0.2548,1.28132,0.96629,0.95316,0.00128633,0.000428777,0.00128633,0.000428777,0.00128633,0.000428777,0.00128633,0.000428777
108,6192.34,1.184,0.77042,0.90591,0.54291,0.44498,0.43295,0.25475,1.28256,0.96651,0.9535,0.00115177,0.000383925,0.00115177,0.000383925,0.00115177,0.000383925,0.00115177,0.000383925
109,6241.83,1.19344,0.77279,0.91524,0.54491,0.44235,0.4324,0.25439,1.2837,0.9687,0.95406,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227
110,6290.45,1.20247,0.77232,0.91654,0.538,0.44777,0.43284,0.25437,1.28376,0.96982,0.9542,0.000911527,0.000303842,0.000911527,0.000303842,0.000911527,0.000303842,0.000911527,0.000303842
111,6339.76,1.17711,0.75857,0.90218,0.54154,0.4447,0.43328,0.25427,1.28388,0.97016,0.95401,0.000806001,0.000268667,0.000806001,0.000268667,0.000806001,0.000268667,0.000806001,0.000268667
112,6390.35,1.19574,0.76702,0.91956,0.54186,0.44502,0.43342,0.25454,1.28398,0.97218,0.95419,0.000710307,0.000236769,0.000710307,0.000236769,0.000710307,0.000236769,0.000710307,0.000236769
113,6450.99,1.1993,0.76782,0.91028,0.5394,0.446,0.43275,0.2546,1.28431,0.97404,0.95463,0.000624508,0.000208169,0.000624508,0.000208169,0.000624508,0.000208169,0.000624508,0.000208169
114,6509.12,1.21002,0.76328,0.91679,0.54574,0.44406,0.43334,0.25457,1.285,0.97491,0.95484,0.000548665,0.000182888,0.000548665,0.000182888,0.000548665,0.000182888,0.000548665,0.000182888
115,6566.12,1.20732,0.76235,0.91854,0.55002,0.44058,0.43335,0.25431,1.28506,0.97624,0.95477,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943
116,6623.35,1.1823,0.75712,0.9098,0.54084,0.44374,0.43335,0.25455,1.28511,0.97673,0.95478,0.000427044,0.000142348,0.000427044,0.000142348,0.000427044,0.000142348,0.000427044,0.000142348
117,6672.82,1.21329,0.766,0.92275,0.54267,0.44181,0.43301,0.25438,1.2853,0.97797,0.95488,0.00038135,0.000127117,0.00038135,0.000127117,0.00038135,0.000127117,0.00038135,0.000127117
118,6730.08,1.17867,0.74681,0.8993,0.54176,0.44252,0.43239,0.25403,1.28566,0.97913,0.955,0.000345778,0.000115259,0.000345778,0.000115259,0.000345778,0.000115259,0.000345778,0.000115259
119,6786.87,1.20137,0.7696,0.91869,0.54327,0.44161,0.4324,0.25415,1.28611,0.97963,0.95525,0.000320351,0.000106784,0.000320351,0.000106784,0.000320351,0.000106784,0.000320351,0.000106784
120,6837.72,1.20934,0.76345,0.91588,0.54184,0.44288,0.43283,0.25426,1.28642,0.98002,0.95535,0.000305089,0.000101696,0.000305089,0.000101696,0.000305089,0.000101696,0.000305089,0.000101696
